store,address,phone,address2
홍대역8번출구점,서울시 마포구 양화로18안길 7 2층  ,02-338-9463,서울특별시 마포구 양화로18안길 7 2층
산본역점,경기도 군포시 광정로58 1층 104호 및 2층  ,031-399-8812,경기도 군포시 광정로58 1층 104호 및 2층
부천상동점,경기도 부천시 길주로 111 센타플라자 1층  ,032-329-9471,경기도 부천시 길주로 111 센타플라자 1층
안양1번가점,경기도 안양시 만안구 안양로304번길 12 세진빌딩 2층  ,031-468-9096,경기도 안양시 만안구 안양로304번길 12 세진빌딩 2층
원주AK플라자점,강원도 원주시 봉화로1 AK플라자원주점 1층  ,033-748-0631,강원도 원주시 봉화로1 AK플라자원주점 1층
송파파크하비오B1점,"서울특별시 송파구 송파대로 111, 송파 파크하비오 하비오길 극장로 203동 지하1층  ",02-449-6797,"서울특별시 송파구 송파대로 111, 송파 파크하비오 하비오길 극장로 203동 지하1층"
화정중앙공원점,경기도 고양시 덕양구 화신로260번길 26 동민프라자 1층 103~107호  ,031-979-9402,경기도 고양시 덕양구 화신로260번길 26 동민프라자 1층 103~107호
강남역12번출구점,서울특별시 강남구 테헤란로 111 2층  ,02-569-5838,서울특별시 강남구 테헤란로 111 2층
서초부띠크모나코점,서울특별시 서초구 서초대로 397 부띠크모나코 1층  ,02-537-4662,서울특별시 서초구 서초대로 397 부띠크모나코 1층
송파파크하비오점,서울특별시 송파구 송파대로 111 송파파크하비오 205동 1층 110-113  ,02-449-6881,서울특별시 송파구 송파대로 111 송파파크하비오 205동 1층 110-113
문정역엠스테이트점,서울 송파구 문정동 643-1번지 엠스테이트 B동 지하1층  ,02-6177-9080,서울특별시 송파구 문정동 643-1번지 엠스테이트 B동 지하1층
상봉역점,서울특별시 중랑구 망우로 291 1층  ,02-493-8902,서울특별시 중랑구 망우로 291 1층
강동경희대병원앞점,서울특별시 강동구 동남로 885 양지빌딩 1층  ,02-481-9938,서울특별시 강동구 동남로 885 양지빌딩 1층
노원역점,"서울시 노원구 노해로 490, 길빌딩 2층  ",02-952-9577,"서울특별시 노원구 노해로 490, 길빌딩 2층"
합정역점,"서울시 마포구 독막로 13, 2층  ",02-338-9178,"서울특별시 마포구 독막로 13, 2층"
종각역점,서울시 종로구 종로 70 2층  ,02-739-6268,서울특별시 종로구 종로 70 2층
평택소사점,"경기도 평택시 평남로 862, 로이드빌딩 1층  ",031-692-2405,"경기도 평택시 평남로 862, 로이드빌딩 1층"
몽촌토성역점,"서울시 송파구 방이동 44-2, 장은빌딩 1층  ",02-2141-0407,"서울특별시 송파구 방이동 44-2, 장은빌딩 1층"
도곡동지오빌딩점,"서울특별시 강남구 도곡동 543-1, 지오빌딩 B1층  ",02-2058-3027,"서울특별시 강남구 도곡동 543-1, 지오빌딩 B1층"
강북구청앞점,"서울특별시 강북구 한천로 139길 25, 1층 일부 및 2층 (수유동 191-70)  ",02-994-8878,"서울특별시 강북구 한천로 139길 25, 1층 일부 및 2층 (수유동 191-70)"
송도트리플스트리트점," 인천 연수구 송도과학로 16번길 33-4 D동 119호,207호  ",032-310-9644,"인천광역시 연수구 송도과학로 16번길 33-4 D동 119호,207호"
구의삼성쉐르빌점,서울특별시 광진구 구의강변로 106 삼성쉐르빌 1층  ,02-2201-8953,서울특별시 광진구 구의강변로 106 삼성쉐르빌 1층
여의도SK증권빌딩점,서울특별시 영등포구 국제금융로8길31 여의도SK증권빌딩점 1층  ,02-6484-5150,서울특별시 영등포구 국제금융로8길31 여의도SK증권빌딩점 1층
현대시티몰가든파이브점,서울특별시 송파구 충민로 66 가든파이브 라이프동 테크노관 1층  ,02-2673-2110,서울특별시 송파구 충민로 66 가든파이브 라이프동 테크노관 1층
합정푸르지오점,"서울특별시 마포구 월드컵로 3길 14, 푸르지오 2차 1층  ",02-338-7684,"서울특별시 마포구 월드컵로 3길 14, 푸르지오 2차 1층"
신논현역2번출구점,서울시 서초구 강남대로 475 2층  ,02-541-9650,서울특별시 서초구 강남대로 475 2층
위례2차아이파크점,서울시 송파구 위례광장로 230 위례2차 아이파크 B동 1층  ,02-449-9703,서울특별시 송파구 위례광장로 230 위례2차 아이파크 B동 1층
혜화역1번출구점,서울특별시 종로구 대학로 128 2층  ,02-766-7937,서울특별시 종로구 대학로 128 2층
한성대입구역점,서울특별시 성북구 삼선교로 12 1층  ,02-766-7951,서울특별시 성북구 삼선교로 12 1층
한티역디마크빌딩점,서울특별시 강남구 도곡로 408 디마크빌딩 1층  ,02-2052-6590,서울특별시 강남구 도곡로 408 디마크빌딩 1층
논현201-5번지점,"서울특별시 강남구  강남대로112길 20 1층, 2층  ",02-541-9563,"서울특별시 강남구 강남대로112길 20 1층, 2층"
부산수영역점,부산광역시 수영구 수영로 667 1층  ,051-759-9046,부산광역시 수영구 수영로 667 1층
부산정관점,"부산광역시 기장군 정관로 563 1층,2층  ",051-728-7435,"부산광역시 기장군 정관로 563 1층,2층"
수원송죽DT점,경기도 수원시 장안구 경수대로 989  ,031-248-6086,경기도 수원시 장안구 경수대로 989
동교동삼거리점,서울특별시 마포구 양화로 196(동교동)  ,02-336-9198 ,서울특별시 마포구 양화로 196(동교동)
성남신흥점,경기도 성남시 수정구 수정로 190 (신흥동)  ,031-759-6675,경기도 성남시 수정구 수정로 190 (신흥동)
응암동점 ,"서울시 은평구 은평로 121(응암동), 메디컬빌딩  ",02-389-6283,"서울특별시 은평구 은평로 121(응암동), 메디컬빌딩"
서수원이마트점,"경기도 수원시 권선구 수인로 291(구운동), 이마트 서수원점 1층  ",031-278-6593,"경기도 수원시 권선구 수인로 291(구운동), 이마트 서수원점 1층"
양천향교역점,서울특별시 강서구 강서로 457(마곡동)  ,02-3665-9506,서울특별시 강서구 강서로 457(마곡동)
성균관대 자연과학캠퍼스점,"경기 수원시 장안구 서부로 2066, 성균관대 자연과학 캠퍼스 N센터 1층  ",031-278-7640,"경기도 수원시 장안구 서부로 2066, 성균관대 자연과학 캠퍼스 N센터 1층"
마곡마커스빌딩점 ,서울특별시 강서구 마곡동로 55 마커스빌딩 1층  ,02-6905-3030,서울특별시 강서구 마곡동로 55 마커스빌딩 1층
방이역4번출구점,서울 송파구 방이동 206-11  ,02-420-0386,서울특별시 송파구 방이동 206-11
IFC MALL 3호점,서울시 영등포구 국제금융로10 IFC Mall L2(2층)  ,02-6137-5056,서울특별시 영등포구 국제금융로10 IFC Mall L2(2층)
동탄능동DT점,"경기도 화성시 능동 453-4,453-8,454-1 소재 건물(1~3층)  ",031-267-4182,"경기도 화성시 능동 453-4,453-8,454-1 소재 건물(1~3층)"
수원인계DT점,경기도 수원시 팔달구 인계로79 (인계동)  ,031-898-8818,경기도 수원시 팔달구 인계로79 (인계동)
인천공항 제2여객터미널 입구점,인천광역시 중구 운서동 2868 인천공항 제2터미널 1층 연번(23-124)  ,032-743-2894,인천광역시 중구 운서동 2868 인천공항 제2터미널 1층 연번(23-124)
부산서면서전로점,"부산광역시 부산진구 서전로 12, 1층  ",051-819-8708,"부산광역시 부산진구 서전로 12, 1층"
분당차병원본관앞점,경기도 성남시 분당구 야탑로64 DS타워 1층  ,031-8017-8243,경기도 성남시 분당구 야탑로64 DS타워 1층
신용산역래미안점,서울시 용산구 한강대로95  ,02-2074-1049,서울특별시 용산구 한강대로95
선릉역3번출구세방빌딩점,서울특별시 강남구 선릉로 433 세방빌딩 1층  ,02-2051-9328,서울특별시 강남구 선릉로 433 세방빌딩 1층
